iter	Passed	Remaining
354	54079	98256
355	54231	98103
356	54392	97966
357	54554	97833
358	54711	97688
359	54867	97541
360	55006	97366
361	55130	97164
362	55303	97048
363	55439	96867
364	55600	96729
365	55761	96592
366	55895	96408
367	56023	96214
368	56183	96075
369	56331	95916
370	56487	95769
371	56636	95612
372	56783	95451
373	56928	95287
374	57087	95146
375	57237	94989
376	57390	94839
377	57535	94674
378	57679	94508
379	57829	94352
380	57975	94191
381	58139	94058
382	58268	93867
383	58416	93709
384	58549	93527
385	58705	93380
386	58840	93202
387	58994	93052
388	59157	92917
389	59305	92760
390	59452	92599
391	59616	92466
392	59767	92313
393	59936	92187
394	60097	92048
395	60258	91909
396	60423	91776
397	60570	91616
398	60723	91465
399	60869	91303
400	61007	91131
401	61144	90955
402	61326	90849
403	61463	90673
404	61621	90530
405	61752	90347
406	61888	90172
407	62011	89978
408	62161	89822
409	62321	89682
410	62477	89535
411	62625	89378
412	62772	89218
413	62917	89057
414	63071	88908
415	63196	88718
416	63326	88536
417	63490	88401
418	63659	88273
419	63814	88124
420	63942	87939
421	64088	87779
422	64248	87638
423	64375	87453
424	64516	87286
425	64639	87096
426	64819	86983
427	64977	86838
428	65121	86676
429	65283	86538
430	65430	86380
431	65586	86233
432	65728	86069
433	65871	85905
434	66023	85754
435	66145	85564
436	66307	85426
437	66445	85256
438	66631	85148
439	66822	85047
440	66967	84886
441	67137	84757
442	67270	84581
443	67434	84444
444	67593	84301
445	67707	84102
446	67852	83942
447	67999	83785
448	68152	83634
449	68308	83488
450	68444	83317
451	68600	83170
452	68769	83039
453	68903	82866
454	69052	82711
455	69206	82562
456	69348	82399
457	69502	82249
458	69663	82109
459	69831	81976
460	69983	81824
461	70158	81699
462	70342	81585
463	70529	81474
464	70693	81335
465	70846	81185
466	71017	81053
467	71193	80929
468	71371	80806
469	71549	80683
470	71726	80559
471	71920	80452
472	72086	80316
473	72254	80181
474	72444	80069
475	72612	79934
476	72765	79782
477	72909	79621
478	73070	79477
479	73234	79337
480	73404	79203
481	73583	79079
482	73725	78915
483	73878	78762
484	74050	78630
485	74207	78482
486	74381	78352
487	74553	78220
488	74758	78121
489	74928	77987
490	75059	77810
491	75237	77684
492	75392	77532
493	75539	77374
494	75706	77236
495	75871	77095
496	76013	76931
497	76177	76789
498	76307	76613
499	76459	76459
500	76615	76309
501	76756	76145
502	76934	76016
503	77131	75907
504	77318	75787
505	77474	75637
506	77642	75498
507	77781	75331
508	77924	75168
509	78083	75021
510	78227	74860
511	78345	74673
512	78501	74522
513	78624	74341
514	78787	74197
515	78963	74066
516	79101	73899
517	79262	73754
518	79438	73622
519	79590	73468
520	79737	73309
521	79876	73144
522	80022	72984
523	80177	72833
524	80342	72690
525	80469	72514
526	80627	72365
527	80762	72196
528	80897	72028
529	81032	71859
530	81198	71717
531	81331	71547
532	81493	71402
533	81651	71254
534	81767	71069
535	81931	70925
536	82065	70757
537	82213	70600
538	82373	70453
539	82512	70288
540	82658	70129
541	82812	69977
542	82950	69813
543	83088	69647
544	83256	69507
545	83385	69334
546	83540	69184
547	83674	69016
548	83815	68853
549	83961	68695
550	84080	68515
551	84201	68337
552	84346	68178
553	84490	68019
554	84646	67869
555	84773	67696
556	84912	67533
557	85053	67371
558	85190	67207
559	85342	67054
560	85468	66881
561	85601	66714
562	85748	66558
563	85904	66408
564	86082	66276
565	86234	66123
566	86378	65964
567	86531	65813
568	86695	65669
569	86847	65516
570	86993	65359
571	87119	65187
572	87262	65028
573	87433	64889
574	87588	64739
575	87719	64571
576	87902	64441
577	88060	64293
578	88202	64133
579	88345	63974
580	88505	63827
581	88673	63686
582	88811	63523
583	88961	63369
584	89103	63210
585	89257	63058
586	89423	62916
587	89547	62744
588	89694	62588
589	89833	62426
590	89987	62275
591	90123	62112
592	90266	61953
593	90454	61825
594	90609	61675
595	90744	61511
596	90883	61350
597	91034	61196
598	91182	61042
599	91323	60882
600	91455	60716
601	91608	60564
602	91757	60410
603	91917	60263
604	92064	60108
605	92211	59952
606	92380	59811
607	92530	59658
608	92705	59520
609	92841	59357
610	93004	59212
611	93161	59062
612	93317	58913
613	93462	58756
614	93616	58605
615	93744	58438
616	93880	58276
617	94041	58128
618	94202	57982
619	94362	57834
620	94508	57679
621	94646	57518
622	94808	57372
623	94956	57217
624	95135	57081
625	95283	56926
626	95442	56778
627	95598	56628
628	95741	56471
629	95891	56317
630	96028	56155
631	96170	55997
632	96311	55839
633	96454	55682
634	96607	55530
635	96746	55370
636	96885	55210
637	97054	55068
638	97237	54934
639	97382	54777
640	97539	54627
641	97689	54474
642	97814	54307
643	97968	54156
644	98126	54007
645	98261	53845
646	98395	53684
647	98556	53536
648	98698	53379
649	98845	53224
650	99004	53075
651	99168	52930
652	99309	52772
653	99465	52622
654	99631	52477
655	99782	52324
656	99930	52170
657	100083	52019
658	100230	51864
659	100376	51708
660	100524	51554
661	100683	51406
662	100820	51246
663	100975	51095
664	101151	50956
665	101315	50810
666	101479	50663
667	101604	50497
668	101776	50355
669	101928	50203
670	102085	50053
671	102224	49895
672	102373	49741
673	102516	49584
674	102651	49425
675	102813	49277
676	102954	49120
677	103116	48972
678	103277	48824
679	103391	48654
680	103536	48499
681	103686	48346
682	103825	48188
683	103962	48029
684	104125	47882
685	104266	47725
686	104422	47575
687	104588	47429
688	104752	47283
689	104896	47127
690	105041	46972
691	105180	46814
692	105325	46659
693	105484	46510
694	105642	46361
695	105777	46201
696	105921	46046
697	106063	45889
698	106238	45747
699	106386	45594
700	106533	45439
701	106697	45293
702	106854	45143
